match_id,match_seq_num,radiant_win,start_time,duration,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team
8752047713,7354864012,True,1774972806,1080,0,23,15,3,185,"[52, 44, 75, 5, 82]","[86, 70, 114, 98, 112]"
8752047708,7354869390,False,1774972805,1336,0,23,51,4,184,"[56, 35, 74, 109, 84]","[121, 65, 94, 129, 25]"
8752047686,7354864681,False,1774972805,1098,0,23,15,1,185,"[39, 44, 95, 17, 136]","[36, 6, 97, 47, 56]"
8752047684,7354866553,True,1774972805,1185,0,23,33,1,183,"[62, 36, 84, 68, 25]","[104, 63, 46, 13, 7]"
8752047679,7354866833,True,1774972796,1224,0,23,35,3,183,"[19, 33, 72, 6, 37]","[74, 73, 112, 100, 40]"
8752047661,7354863806,True,1774972806,1072,0,23,21,1,187,"[53, 38, 17, 11, 119]","[34, 35, 52, 40, 54]"
8752047655,7354863284,False,1774972805,921,0,23,51,8,183,"[54, 40, 92, 6, 77]","[99, 100, 86, 105, 44]"
8752047498,7354865995,True,1774972800,1165,0,23,32,2,183,"[7, 14, 26, 108, 12]","[46, 54, 119, 85, 57]"
8752047496,7354868150,True,1774972800,1291,0,23,15,2,273,"[74, 68, 1, 105, 26]","[46, 6, 77, 40, 11]"
8752047489,7354859905,True,1774972796,896,0,23,42,3,182,"[99, 97, 4, 35, 102]","[36, 91, 61, 56, 145]"
8752047484,7354866821,True,1774972790,1226,0,23,53,4,213,"[105, 42, 30, 111, 35]","[39, 23, 26, 20, 123]"
8752047432,7354863369,True,1774972796,1044,0,23,51,9,186,"[9, 14, 45, 112, 74]","[119, 71, 129, 40, 68]"
8752047426,7354867330,True,1774972795,1243,0,23,15,1,183,"[136, 8, 105, 22, 104]","[34, 42, 86, 17, 7]"
8752047424,7354869328,False,1774972790,1319,0,23,45,1,151,"[14, 19, 79, 48, 74]","[63, 10, 86, 29, 35]"
8752047403,7354862866,False,1774972796,1030,0,23,34,3,184,"[100, 73, 70, 25, 2]","[48, 54, 38, 74, 26]"
8752047396,7354868932,True,1774972795,1329,0,23,43,4,193,"[18, 101, 108, 35, 36]","[37, 62, 95, 84, 74]"
8752047367,7354863309,False,1774972791,1050,0,23,22,2,184,"[30, 17, 34, 46, 33]","[76, 104, 25, 12, 18]"
8752047329,7354866761,False,1774972790,1198,0,23,34,3,183,"[1, 53, 4, 71, 74]","[36, 25, 42, 26, 97]"
8752047327,7354865847,False,1774972785,1185,0,23,32,2,274,"[114, 71, 8, 101, 43]","[63, 5, 84, 45, 56]"
8752047320,7354867494,False,1774972791,1245,0,23,45,3,151,"[114, 22, 104, 101, 48]","[120, 49, 83, 6, 123]"
8752047289,7354867249,True,1774972790,1247,0,23,31,5,152,"[2, 7, 101, 93, 27]","[6, 95, 26, 45, 8]"
8752047273,7354856392,True,1774972790,642,0,23,42,3,185,"[70, 42, 26, 14, 27]","[129, 106, 46, 114, 9]"
8752047272,7354867571,False,1774972790,1256,0,23,22,1,182,"[34, 138, 81, 38, 42]","[52, 29, 43, 99, 71]"
8752047223,7354865363,False,1774972766,1144,0,23,23,3,181,"[64, 6, 61, 74, 39]","[75, 26, 67, 14, 62]"
8752047213,7354859338,False,1774972780,859,0,23,35,7,182,"[34, 2, 35, 106, 26]","[11, 66, 56, 74, 14]"
